127.0.0.1 - - [04/Jul/2022:16:55:52 +0900] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jul/2022:16:55:54 +0900] "GET /26_member_jstl/ HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [04/Jul/2022:16:55:54 +0900] "GET /26_member_jstl//css/header.css HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [04/Jul/2022:16:55:54 +0900] "GET /26_member_jstl//css/footer.css HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [04/Jul/2022:16:55:54 +0900] "GET /26_member_jstl//css/common.css HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:07:40 +0900] "GET /26_member_jstl/member/join.jsp HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:07:48 +0900] "POST /26_member_jstl/member/joinCheck.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:07:50 +0900] "GET /26_member_jstl/member/login.jsp HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:07:56 +0900] "POST /26_member_jstl/member/loginCheck.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:07:58 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:02 +0900] "GET /26_member_jstl//board/notice/notice_list.jsp HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:06 +0900] "GET /26_member_jstl/member/logOut.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:07 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:08 +0900] "GET /26_member_jstl/member/login.jsp HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:12 +0900] "POST /26_member_jstl/member/loginCheck.jsp HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:13 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:15 +0900] "GET /26_member_jstl//board/notice/notice_list.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:17 +0900] "GET /26_member_jstl//board/notice/notice_write.jsp HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:22 +0900] "POST /26_member_jstl//board/notice/notice_write_submit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:22 +0900] "GET /26_member_jstl//board/notice/notice_success.jsp HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:24 +0900] "GET /26_member_jstl//board/notice/notice_list.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:27 +0900] "GET /26_member_jstl//board/notice/notice_detail.jsp?notice_num=1 HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:30 +0900] "GET /26_member_jstl/member/logOut.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:31 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:32 +0900] "GET /26_member_jstl/member/login.jsp HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:37 +0900] "POST /26_member_jstl/member/loginCheck.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:38 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:39 +0900] "GET /26_member_jstl//board/notice/notice_list.jsp HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:40 +0900] "GET /26_member_jstl//board/notice/notice_detail.jsp?notice_num=1 HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:44 +0900] "GET /26_member_jstl/member/logOut.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:45 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:46 +0900] "GET /26_member_jstl/member/login.jsp HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:52 +0900] "POST /26_member_jstl/member/loginCheck.jsp HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [04/Jul/2022:17:08:54 +0900] "GET /26_member_jstl/index.jsp HTTP/1.1" 200 1116
